Query_ID,Actual_Label,SVM_Prediction,Qwen_Prediction
0,Irrelevant,Irrelevant,Understanding
1,Irrelevant,Irrelevant,Irrelevant
2,Irrelevant,Irrelevant,Understanding
3,Irrelevant,Irrelevant,Understanding
4,Irrelevant,Irrelevant,Understanding
5,Remembering,Irrelevant,Understanding
6,Irrelevant,Irrelevant,Understanding
7,Irrelevant,Irrelevant,Understanding
8,Remembering,Remembering,Understanding
9,Irrelevant,Irrelevant,Understanding
10,Irrelevant,Irrelevant,Understanding
11,Irrelevant,Irrelevant,Understanding
12,Remembering,Remembering,Understanding
13,Irrelevant,Irrelevant,Understanding
14,Irrelevant,Irrelevant,Understanding
15,Irrelevant,Irrelevant,Understanding
16,Irrelevant,Irrelevant,Understanding
17,Irrelevant,Irrelevant,Understanding
18,Irrelevant,Irrelevant,Understanding
19,Applying,Applying,Understanding
20,Irrelevant,Irrelevant,Understanding
21,Remembering,Irrelevant,Understanding
22,Irrelevant,Irrelevant,Understanding
23,Irrelevant,Irrelevant,Understanding
24,Irrelevant,Irrelevant,Understanding
25,Remembering,Irrelevant,Applying
26,Irrelevant,Irrelevant,Understanding
27,Irrelevant,Irrelevant,Understanding
28,Analyzing,Irrelevant,Understanding
29,Irrelevant,Irrelevant,Understanding
30,Applying,Applying,Understanding
31,Irrelevant,Irrelevant,Understanding
32,Irrelevant,Irrelevant,Understanding
33,Irrelevant,Irrelevant,Understanding
34,Irrelevant,Irrelevant,Understanding
35,Irrelevant,Irrelevant,Understanding
36,Irrelevant,Irrelevant,Understanding
37,Analyzing,Applying,Irrelevant
38,Irrelevant,Irrelevant,Applying
39,Remembering,Remembering,Understanding
40,Irrelevant,Irrelevant,Understanding
41,Irrelevant,Irrelevant,Understanding
42,Irrelevant,Irrelevant,Understanding
43,Irrelevant,Irrelevant,Understanding
44,Irrelevant,Irrelevant,Understanding
45,Irrelevant,Remembering,Understanding
46,Applying,Irrelevant,Understanding
47,Irrelevant,Irrelevant,Understanding
48,Applying,Analyzing,Understanding
49,Remembering,Remembering,Understanding
