question,original_label,bloom_level
Evaluate board games and justify why rules are important.,Evaluation,Evaluate
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations. Justify your answer.,Evaluation,Evaluate
Explain the profit and loss for Alice and GCB bank.,Comprehension,Understand
"Besides silicon and germanium, name ONE (1) other material that can be used as the substrate of a transistor.",Comprehension,Understand
Calculate the number of bytes required to store a minute of stereo sound at DVD quality with the resolution of 32 bits. Show your working and calculation.,Application,Apply
Revises and process to improve the outcome.,Synthesis,Create
Evaluate any FIVE (5) power bases. Provide a relevant example for each power base.,Evaluation,Evaluate
Compute the area of actual circles.,Application,Apply
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example.",Analysis,Analyze
Briefly explain and draw the structure of dilute foams and concentrated foams.,Comprehension,Understand
"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems.",Synthesis,Create
Define FOUR (4) primary roles of advertising in business and society.,Knowledge,Remember
How was this similar to . . .?,Analysis,Analyze
Contrast B-mode and A-mode ultrasound systems.,Comprehension,Understand
Can you explain what is happening . . . what is meant . . .?,Comprehension,Understand
How can you differentiate between...?,Analysis,Analyze
"By using appropriate diagrams, explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.",Comprehension,Understand
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application,Apply
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project.,Comprehension,Understand
Appraise data in support of a hypothesis.,Evaluation,Evaluate
Discuss the relationship between advertising and children.,Comprehension,Understand
Comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.,Evaluation,Evaluate
"Differentiate among “external wall', 'internal wall' and 'parapet'.",Analysis,Analyze
Compare three celebrations using a Venn diagram.,Analysis,Analyze
Apply the Karush-Kuhn-Tucker conditions for this problem to derive an optimal solution.,Application,Apply
Compare how different children come to school.,Analysis,Analyze
Describe the TWO (2) key differences between perfect competition and monopolistic competition.,Comprehension,Understand
Give the appropriate formula to calculate the velocity of the sedimentation.,Comprehension,Understand
"Based on your understanding, highlight THREE (3) differences between vector graphics and bitmap images.",Comprehension,Understand
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner.,Comprehension,Understand
Develop a hypothesis.,Synthesis,Create
Describe the SEVEN (7) advantages of radio advertising.,Knowledge,Remember
State the advantage of applying each step in the purification scheme.,Comprehension,Understand
Discuss FIVE (5) types of “Non Destructive Test equipment and how they can be used to aid the sensory indicators of building defects.,Comprehension,Understand
Describe characteristics and importance of secondary market.,Comprehension,Understand
Describe the flow of MOET procedures in cattle breeding.,Comprehension,Understand
What happens if you restrict a determinental process to a subset R S?,Application,Apply
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer.,Comprehension,Understand
Eukaryotic genome is mostly repetitive DNA and non-coding sequences. Elaborate the statement.,Comprehension,Understand
"Comment on the values that were generated for “Identities” and “Positives"".",Evaluation,Evaluate
Retell the story in your words.,Comprehension,Understand
Briefly explain the Auger process.,Comprehension,Understand
Describe the Pareto Principle in statistical software quality assurance.,Comprehension,Understand
"Based on the above dataType class, list all the function members",Knowledge,Remember
"Divide the story into initiating event, rising action, climax, and falling action",Analysis,Analyze
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis,Analyze
"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM).",Synthesis,Create
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit.,Comprehension,Understand
Participate in a mock election,Application,Apply
"Name a commercially available software or an open-source software that does the computational analysis of flows of hydraulic engineering and explain what it is used for, what equations based on what assumptions it uses and how then are solved.",Comprehension,Understand
Describe how hypotheses are combined in boosting.,Comprehension,Understand
Briefly describe the disadvantages of characterising three dimensional protein structures using X-ray diffraction.,Comprehension,Understand
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly.,Analysis,Analyze
List down FIVE (5) types of shapes.,Knowledge,Remember
An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts.,Synthesis,Create
Support your views with ONE (1) example for each strategy.,Evaluation,Evaluate
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing.,Comprehension,Understand
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis,Create
Propose an alternative way to solve …,Synthesis,Create
"Assuming the elitism selection method where the best chromosomes are selected for pairing, apply the crossover and mutation for the selected pair of chromosomes using the encoding scheme proposed in (b)(i).",Application,Apply
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017.,Comprehension,Understand
Define privacy.,Knowledge,Remember
Calculate the optimal size of the production run.,Application,Apply
Compare and contrast animals that the class has made.,Analysis,Analyze
Formulate the profit for the company.,Synthesis,Create
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy.,Application,Apply
"Evaluate the differences between the common, facing and engineering bricks in characteristics and use.",Evaluation,Evaluate
Recite a policy of immigration in Europe .,Knowledge,Remember
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis,Create
Can you discriminate the difference parts . . . ?,Analysis,Analyze
Provide the objectives of building maintenance.,Comprehension,Understand
How does...compare/contrast with...?,Analysis,Analyze
"Sketch the energy band diagram of the ideal metal-semiconductor contact in forward bias mode. Show the conduction and valence band edges, and all the Fermi levels.",Application,Apply
Determine the economic order quantity.,Application,Apply
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation,Evaluate
Briefly describe THREE (3) types of business process that traditionally organized around functional areas of business. Provide an example of each.,Knowledge,Remember
Select a local 'HOMEGROWN' brand and discuss its international marketing mix.,Comprehension,Understand
"""Assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive price­ taking firms"". By using appropriate diagrams, explain the underlying assumptions of the model stated in the statement.",Comprehension,Understand
Identify any TWO (2) product design strategies you have learned. Explain how both strategies could be useful for instant respond to customer demand.,Comprehension,Understand
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio.,Comprehension,Understand
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges.,Comprehension,Understand
Describe the purposes of utilizing Building Information Modelling in the construction industry.,Comprehension,Understand
How would you relate position concept with position strategy,Application,Apply
Describe the challenges in global advertising.,Knowledge,Remember
Analyze the movements and sounds of a frog.,Analysis,Analyze
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application,Apply
Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,Comprehension,Understand
Synthesize the need for ventilation as an engineering control.,Synthesis,Create
Define put-call parity. Discuss its implications and how arbitrageurs could take advantage of arbitrage opportunities for both options.,Comprehension,Understand
